Date,Text
Date,Text
Date,Text
Date,Text
2020-02-05 06:15:08,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:15:01,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:14:54,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:14:51,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:14:50,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:14:35,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:14:17,b'Fuckin chuffed to bits for the lads last nite!.. brilliant win.. and on to the next round.. GET THE FUCK INNNNNNNN!\xe2\x80\xa6 https://t.co/FZRK1YiDQk'
2020-02-05 06:14:11,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:14:08,"b'RT @JamesMilner: Full house tonight at Anfield - show them what you can do, lads \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x94\xb4 #FACup #YNWA https://t.co/4sXRBpU9e9'"
2020-02-05 06:13:54,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:13:47,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:13:38,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:13:36,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:13:33,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:13:17,b'League and cup double anyone?? #lfc #YNWA'
2020-02-05 06:13:15,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:13:05,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:13:00,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:12:54,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:12:47,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:12:46,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:12:32,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:12:31,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:12:18,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:12:04,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:11:53,"b'RT @CaroWozniacki: As a Life long @LFC supporter, I can\xe2\x80\x99t tell you how much pride this video gives me!!! Thank you so much #stevengerrard !\xe2\x80\xa6'"
2020-02-05 06:11:01,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:10:53,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
